DATE,RHEACBW027SBOG
2008-07-23,520.8163
2008-07-30,521.9506
2008-08-06,523.4392
2008-08-13,524.5103
2008-08-20,526.0386
2008-08-27,527.3459
2008-09-03,528.1462
2008-09-10,529.4519
2008-09-17,531.0461
2008-09-24,532.1417
2008-10-01,574.2348
2008-10-08,576.673
2008-10-15,577.9901
2008-10-22,578.4984
2008-10-29,579.1771
2008-11-05,580.567
2008-11-12,581.3448
2008-11-19,582.7649
2008-11-26,584.7498
2008-12-03,586.3508
2008-12-10,587.5236
2008-12-17,587.8538
2008-12-24,588.7974
2008-12-31,589.5945
2009-01-07,591.472
2009-01-14,592.1461
2009-01-21,593.2818
2009-01-28,592.6571
2009-02-04,593.8866
2009-02-11,594.8919
2009-02-18,595.4457
2009-02-25,597.4278
2009-03-04,598.1281
2009-03-11,598.4775
2009-03-18,599.0176
2009-03-25,599.3257
2009-04-01,600.2559
2009-04-08,600.9387
2009-04-15,600.7139
2009-04-22,600.1082
2009-04-29,611.1774
2009-05-06,611.5274
2009-05-13,611.184
2009-05-20,611.6241
2009-05-27,611.3928
2009-06-03,610.5502
2009-06-10,610.2746
2009-06-17,610.0227
2009-06-24,609.1724
2009-07-01,608.7206
2009-07-08,608.3349
2009-07-15,607.5646
2009-07-22,607.0371
2009-07-29,606.7103
2009-08-05,607.2328
2009-08-12,606.6241
2009-08-19,605.4867
2009-08-26,604.7681
2009-09-02,604.0435
2009-09-09,604.2126
2009-09-16,604.0906
2009-09-23,603.3538
2009-09-30,602.544
2009-10-07,602.8434
2009-10-14,602.2844
2009-10-21,601.6512
2009-10-28,601.1729
2009-11-04,606.6041
2009-11-11,606.3663
2009-11-18,606.0589
